Hardware: Generic Memory, HardwareType: Memory, Sensor: Virtual Memory, Value: 36.303814, Type: Load
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Core, Value: 64, Type: Temperature
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Core, Value: 139, Type: Clock
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Memory, Value: 405, Type: Clock
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Core, Value: 1, Type: Load
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Memory Controller, Value: 0, Type: Load
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Video Engine, Value: 0, Type: Load
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Bus, Value: 2, Type: Load
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Hot Spot, Value: 69, Type: Temperature
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Memory Total, Value: 2048, Type: SmallData
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Memory Free, Value: 1979, Type: SmallData
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Memory Used, Value: 68, Type: SmallData
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU Memory, Value: 3.332901, Type: Load
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU PCIe Rx, Value: 0, Type: Throughput
Hardware: NVIDIA GeForce MX350, HardwareType: GpuNvidia, Sensor: GPU PCIe Tx, Value: 0, Type: Throughput
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: GPU Power, Value: 0.3433086, Type: Power
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Shared Memory Total, Value: 12177.652, Type: SmallData
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Shared Memory Free, Value: 11477.535, Type: SmallData
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Shared Memory Used, Value: 700.1172, Type: SmallData
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D 3D, Value: 2.6321652, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Video Decode, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Copy, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Video Processing, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Video Decode, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Other, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Other, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Other, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Other, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Overlay, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D GDI Render, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Video Processing, Value: 0, Type: Load
Hardware: Intel(R) Iris(R) Xe Graphics, HardwareType: GpuIntel, Sensor: D3D Other, Value: 0, Type: Load
Hardware: NVMe WDC PC SN530 SDBPNPZ-256G-1114, HardwareType: Storage, Sensor: Used Space, Value: 76.133545, Type: Load
Hardware: NVMe WDC PC SN530 SDBPNPZ-256G-1114, HardwareType: Storage, Sensor: Read Activity, Value: 3.5437925, Type: Load
Hardware: NVMe WDC PC SN530 SDBPNPZ-256G-1114, HardwareType: Storage, Sensor: Write Activity, Value: 0, Type: Load
Hardware: NVMe WDC PC SN530 SDBPNPZ-256G-1114, HardwareType: Storage, Sensor: Total Activity, Value: 3.6248126, Type: Load
Hardware: NVMe WDC PC SN530 SDBPNPZ-256G-1114, HardwareType: Storage, Sensor: Read Rate, Value: 116526.22, Type: Throughput
Hardware: NVMe WDC PC SN530 SDBPNPZ-256G-1114, HardwareType: Storage, Sensor: Write Rate, Value: 0, Type: Throughput
Hardware: TOSHIBA MQ04ABF100, HardwareType: Storage, Sensor: Used Space, Value: 47.69379, Type: Load
Hardware: TOSHIBA MQ04ABF100, HardwareType: Storage, Sensor: Read Activity, Value: 0, Type: Load
Hardware: TOSHIBA MQ04ABF100, HardwareType: Storage, Sensor: Write Activity, Value: 0, Type: Load
Hardware: TOSHIBA MQ04ABF100, HardwareType: Storage, Sensor: Total Activity, Value: 0.27719873, Type: Load
Hardware: TOSHIBA MQ04ABF100, HardwareType: Storage, Sensor: Read Rate, Value: 0, Type: Throughput
Hardware: TOSHIBA MQ04ABF100, HardwareType: Storage, Sensor: Write Rate, Value: 0, Type: Throughput
Hardware: Radmin VPN, HardwareType: Network, Sensor: Data Uploaded, Value: 0.00027391408, Type: Data
Hardware: Radmin VPN, HardwareType: Network, Sensor: Data Downloaded, Value: 4.3408945E-06, Type: Data
Hardware: Radmin VPN, HardwareType: Network, Sensor: Upload Speed, Value: 0, Type: Throughput
Hardware: Radmin VPN, HardwareType: Network, Sensor: Download Speed, Value: 0, Type: Throughput
Hardware: Radmin VPN, HardwareType: Network, Sensor: Network Utilization, Value: 0, Type: Load
Hardware: VMware Network Adapter VMnet1, HardwareType: Network, Sensor: Data Uploaded, Value: 1.0719523E-06, Type: Data
Hardware: VMware Network Adapter VMnet1, HardwareType: Network, Sensor: Data Downloaded, Value: 1.3038516E-08, Type: Data
Hardware: VMware Network Adapter VMnet1, HardwareType: Network, Sensor: Upload Speed, Value: 0, Type: Throughput
Hardware: VMware Network Adapter VMnet1, HardwareType: Network, Sensor: Download Speed, Value: 0, Type: Throughput
Hardware: VMware Network Adapter VMnet1, HardwareType: Network, Sensor: Network Utilization, Value: 0, Type: Load
Hardware: VMware Network Adapter VMnet8, HardwareType: Network, Sensor: Data Uploaded, Value: 1.7173588E-06, Type: Data
Hardware: VMware Network Adapter VMnet8, HardwareType: Network, Sensor: Data Downloaded, Value: 1.3038516E-08, Type: Data
Hardware: VMware Network Adapter VMnet8, HardwareType: Network, Sensor: Upload Speed, Value: 0, Type: Throughput
Hardware: VMware Network Adapter VMnet8, HardwareType: Network, Sensor: Download Speed, Value: 0, Type: Throughput
Hardware: VMware Network Adapter VMnet8, HardwareType: Network, Sensor: Network Utilization, Value: 0, Type: Load
Hardware: Wi-Fi, HardwareType: Network, Sensor: Data Uploaded, Value: 0.027635133, Type: Data
